Blade ID,Blade Name,Skill,Type,Col,Row,Level,Idea Category,Idea Points,Condition,Count,Result
1001,Pyra,,Key,1,1,1,,,,,
1001,Pyra,,Key,1,2,2,Bravery,200,Increase Trust.,100,"Looks like all our hard work is
starting to pay off."
1001,Pyra,,Key,1,3,3,Bravery,300,Increase Trust.,1600,"I think I might get better
at cooking, too!"
1001,Pyra,,Key,1,4,4,Bravery,500,Increase Trust.,4600,I feel like I can still get even stronger.
1001,Pyra,,Key,1,5,5,Bravery,800,Increase Trust.,10600,A sign of the special bond we share!
1001,Pyra,Flame Nova,Special,2,1,1,,,,,
1001,Pyra,Flame Nova,Special,2,2,2,Bravery,200,"Defeat Feris enemies in Gormott.
(Excludes unique monsters.)",6,"They were perfect for a little
combat practice."
1001,Pyra,Flame Nova,Special,2,3,3,Bravery,300,Use Flame Nova.,11,"What's this feeling...?
It's like power is welling up within me!"
1001,Pyra,Flame Nova,Special,2,4,4,Bravery,500,Perform a Blade Combo.,10,How did you like my strength?
1001,Pyra,Flame Nova,Special,2,5,5,Bravery,800,Defeat a Vay Taos at the World Tree.,4,"That was a difficult enemy...
But I was able to beat it thanks to you."
1001,Pyra,Prominence Revolt,Special,3,1,1,,,,,
1001,Pyra,Prominence Revolt,Special,3,2,2,Bravery,200,Use Prominence Revolt.,7,I'm starting to get quite good at this!
1001,Pyra,Prominence Revolt,Special,3,3,3,Bravery,300,Defeat a Bafoo Crustip in Mor Ardain.,5,"What a formidable foe... But by
defeating it, I've become stronger!"
1001,Pyra,Prominence Revolt,Special,3,4,4,Bravery,500,Use Prominence Revolt.,9,"I want to use this power to
protect everyone."
1001,Pyra,Prominence Revolt,Special,3,5,5,Bravery,800,Use Prominence Revolt.,10,"I think I can use this technique
better than ever now!"
1001,Pyra,Blazing End,Special,4,1,1,,,,,
1001,Pyra,Blazing End,Special,4,2,2,Bravery,200,Perform a Blade Combo.,5,Did you see the power of my flames?
