Challenge,Challenge Name,Box,Item,Item Name,Prob
1,"Grazing Flock",1,15007,"Physical Defense Up II",0.0178571437
1,"Grazing Flock",1,15027,"Insect Hunter II",0.0178571437
1,"Grazing Flock",1,15037,"Aquatic Hunter II",0.0178571437
1,"Grazing Flock",1,15047,"Machine Hunter II",0.0178571437
1,"Grazing Flock",1,15052,"Titan Hunter II",0.0178571437
1,"Grazing Flock",1,15063,"Fusion Combo Up II",0.0178571437
1,"Grazing Flock",1,15073,"Reflect Immunity",0.0178571437
1,"Grazing Flock",1,15083,"Indoor Attack Up II",0.0178571437
1,"Grazing Flock",1,15093,"Fire Def Up II",0.0178571437
1,"Grazing Flock",1,15098,"Water Def Up II",0.0178571437
1,"Grazing Flock",1,15103,"Earth Def Up II",0.0178571437
1,"Grazing Flock",1,15108,"Wind Def Up II",0.0178571437
1,"Grazing Flock",1,15113,"Electric Def Up II",0.0178571437
1,"Grazing Flock",1,15118,"Ice Def Up II",0.0178571437
1,"Grazing Flock",1,15123,"Dark Def Up II",0.0178571437
1,"Grazing Flock",1,15128,"Light Def Up II",0.0178571437
1,"Grazing Flock",1,15150,"Evasion Focus II",0.0178571437
1,"Grazing Flock",1,15160,"Emergency Guard II",0.0178571437
1,"Grazing Flock",1,15170,"HP Attack Boost II",0.0178571437
1,"Grazing Flock",1,15180,"Break Resist II",0.0178571437
1,"Grazing Flock",1,15190,"Launch Resist II",0.0178571437
1,"Grazing Flock",1,15200,"Blowdown Resist II",0.0178571437
1,"Grazing Flock",1,15220,"Auto-Attack Stealth II",0.0178571437
1,"Grazing Flock",1,15230,"Arts Stealth II",0.0178571437
1,"Grazing Flock",1,15240,"Arts Heal II",0.0178571437
1,"Grazing Flock",1,15250,"Damage Heal II",0.0178571437
1,"Grazing Flock",1,15260,"Sunlight Eye II",0.0178571437
1,"Grazing Flock",1,15270,"Range Boost Up II",0.0178571437
1,"Grazing Flock",1,15275,"Opening Art II",0.0178571437
1,"Grazing Flock",1,15285,"Helping Hand II",0.0178571437
1,"Grazing Flock",1,15295,"Affinity MAX Atk II",0.0178571437
1,"Grazing Flock",1,15305,"Hunter's Chemistry II",0.0178571437
1,"Grazing Flock",1,15315,"Fast Blade Switch II",0.0178571437
1,"Grazing Flock",1,15346,"Jamming II",0.0178571437
1,"Grazing Flock",1,15351,"Element Orb Prioritizer",0.0178571437
1,"Grazing Flock",1,298,"Gear Vest (Legendary)",0.0178571437
1,"Grazing Flock",1,301,"Steam Belt (Legendary)",0.0178571437
1,"Grazing Flock",1,304,"Bolt Hat (Legendary)",0.0178571437
1,"Grazing Flock",1,323,"Smithy Gloves (Legendary)",0.0178571437
1,"Grazing Flock",1,325,"Spring Shoes (Legendary)",0.0178571437
1,"Grazing Flock",1,327,"Gold Gear Choker (Legendary)",0.0178571437
1,"Grazing Flock",1,331,"Classic Medal (Legendary)",0.0178571437
1,"Grazing Flock",1,334,"Iron Headband (Legendary)",0.0178571437
1,"Grazing Flock",1,340,"Mechanized Greaves (Legendary)",0.0178571437
1,"Grazing Flock",1,343,"Swordfighting Banner (Legendary)",0.0178571437
1,"Grazing Flock",1,349,"Apprentice Vambraces (Legendary)",0.0178571437
1,"Grazing Flock",1,355,"Chrome Scarf (Legendary)",0.0178571437
1,"Grazing Flock",1,361,"Soldier Ring (Legendary)",0.0178571437
1,"Grazing Flock",1,365,"Assault Stone (Legendary)",0.0178571437
1,"Grazing Flock",1,373,"Camo Hood (Legendary)",0.0178571437
1,"Grazing Flock",1,376,"Metal Nopon Mask (Legendary)",0.0178571437
1,"Grazing Flock",1,400,"Silver Earrings (Legendary)",0.0178571437
1,"Grazing Flock",1,421,"Katana Attachment (Legendary)",0.0178571437
1,"Grazing Flock",1,422,"Ball Attachment (Legendary)",0.0178571437
1,"Grazing Flock",1,10027,"Magnet Chip",0.0357142873
1,"Grazing Flock",2,15007,"Physical Defense Up II",0.005509642
1,"Grazing Flock",2,15027,"Insect Hunter II",0.005509642
1,"Grazing Flock",2,15037,"Aquatic Hunter II",0.005509642
1,"Grazing Flock",2,15047,"Machine Hunter II",0.005509642
1,"Grazing Flock",2,15052,"Titan Hunter II",0.005509642
1,"Grazing Flock",2,15063,"Fusion Combo Up II",0.005509642
1,"Grazing Flock",2,15073,"Reflect Immunity",0.005509642
1,"Grazing Flock",2,15083,"Indoor Attack Up II",0.005509642
1,"Grazing Flock",2,15093,"Fire Def Up II",0.005509642
1,"Grazing Flock",2,15098,"Water Def Up II",0.005509642
1,"Grazing Flock",2,15103,"Earth Def Up II",0.005509642
1,"Grazing Flock",2,15108,"Wind Def Up II",0.005509642
1,"Grazing Flock",2,15113,"Electric Def Up II",0.005509642
1,"Grazing Flock",2,15118,"Ice Def Up II",0.005509642
1,"Grazing Flock",2,15123,"Dark Def Up II",0.005509642
1,"Grazing Flock",2,15128,"Light Def Up II",0.005509642
1,"Grazing Flock",2,15150,"Evasion Focus II",0.005509642
1,"Grazing Flock",2,15160,"Emergency Guard II",0.005509642
1,"Grazing Flock",2,15170,"HP Attack Boost II",0.005509642
1,"Grazing Flock",2,15180,"Break Resist II",0.005509642
1,"Grazing Flock",2,15190,"Launch Resist II",0.005509642
1,"Grazing Flock",2,15200,"Blowdown Resist II",0.005509642
1,"Grazing Flock",2,15220,"Auto-Attack Stealth II",0.005509642
1,"Grazing Flock",2,15230,"Arts Stealth II",0.005509642
1,"Grazing Flock",2,15240,"Arts Heal II",0.005509642
1,"Grazing Flock",2,15250,"Damage Heal II",0.005509642
1,"Grazing Flock",2,15260,"Sunlight Eye II",0.005509642
1,"Grazing Flock",2,15270,"Range Boost Up II",0.005509642
1,"Grazing Flock",2,15275,"Opening Art II",0.005509642
1,"Grazing Flock",2,15285,"Helping Hand II",0.005509642
1,"Grazing Flock",2,15295,"Affinity MAX Atk II",0.005509642
1,"Grazing Flock",2,15305,"Hunter's Chemistry II",0.005509642
1,"Grazing Flock",2,15315,"Fast Blade Switch II",0.005509642
1,"Grazing Flock",2,15346,"Jamming II",0.005509642
1,"Grazing Flock",2,15351,"Element Orb Prioritizer",0.005509642
1,"Grazing Flock",2,298,"Gear Vest (Legendary)",0.005509642
1,"Grazing Flock",2,301,"Steam Belt (Legendary)",0.005509642
1,"Grazing Flock",2,304,"Bolt Hat (Legendary)",0.005509642
1,"Grazing Flock",2,323,"Smithy Gloves (Legendary)",0.005509642
1,"Grazing Flock",2,325,"Spring Shoes (Legendary)",0.005509642
1,"Grazing Flock",2,327,"Gold Gear Choker (Legendary)",0.005509642
1,"Grazing Flock",2,331,"Classic Medal (Legendary)",0.005509642
1,"Grazing Flock",2,334,"Iron Headband (Legendary)",0.005509642
1,"Grazing Flock",2,340,"Mechanized Greaves (Legendary)",0.005509642
1,"Grazing Flock",2,343,"Swordfighting Banner (Legendary)",0.005509642
