Id,Name,Family,Genus,Level,LevelRange,Element,Strength,Ether,Dexterity,Agility,Luck,MaxHp,PhyRst,EtherRst,Exp,Gold,Wp,Sp,Enhance1
1,バニット（仮）,Beast,Bunnit,1,2,None,22,24,34,0,10,1040,0,0,10,6,4,2,
2,バニット（仮）,Beast,Bunnit,1,0,None,24,21,34,0,7,1240,0,-10,10,6,4,2,
3,バニット（仮）,Beast,Bunnit,1,0,None,21,28,37,0,13,820,-10,20,10,9,4,2,
4,ホッグス（仮）,Beast,Hox,1,0,None,26,24,40,0,10,1240,10,15,10,9,4,2,
5,ホッグス（仮）,Beast,Hox,1,0,None,25,29,40,0,15,1040,0,30,10,13,4,2,
6,Volff (prov),Beast,Volff,1,0,None,22,20,28,0,4,1490,5,-10,14,6,4,2,
7,Volff (prov),Beast,Volff,1,0,None,24,19,27,0,5,1630,10,-15,14,6,4,2,
8,フェリス（仮）,Beast,Feris,1,0,None,29,21,29,6,5,2320,5,-10,18,9,4,2,
9,アルマ（仮）,Beast,Armu,1,0,None,29,22,24,0,8,2650,10,-10,24,9,4,2,
10,アルマ（仮）,Beast,Armu,1,0,None,29,22,24,0,8,2650,10,-10,24,26,4,2,
11,アルドン（仮）,Beast,Ardun,1,0,None,36,21,24,4,4,3000,15,-15,30,9,4,2,
12,アリエス（仮）,Beast,Aries,1,0,None,30,31,26,0,10,2880,10,20,24,13,4,2,
13,オリエス（仮）,Beast,Ories,1,0,None,39,27,25,4,5,3240,15,15,30,13,4,2,
14,オリエス（仮）,Beast,Ories,1,0,None,32,36,30,4,12,3120,20,50,30,9,4,2,
15,エクス（仮）,Beast,Eks,1,0,None,23,26,29,0,9,1850,10,0,16,9,4,2,
16,エクス（仮）,Beast,Eks,1,0,None,24,33,40,0,21,1960,10,15,18,9,4,2,
18,ポニオ（仮）,Beast,Ponio,1,0,None,27,22,26,0,5,2080,15,-10,20,33,4,2,
19,ゴゴール（仮）,Beast,Gogol,1,0,None,28,24,29,0,11,2340,10,-10,22,13,4,2,
20,ゴゴール（仮）,Beast,Gogol,1,0,None,33,22,30,0,12,2520,15,-15,24,16,4,2,
21,ゴゴール（仮）,Beast,Gogol,1,0,None,30,31,34,0,15,2660,10,15,28,19,4,2,
22,フラミー（仮）,Beast,Flamii,1,0,None,24,25,34,0,10,1450,-10,15,12,6,4,2,
23,フラミー（仮）,Beast,Flamii,1,0,None,22,30,33,0,8,1540,-10,10,12,6,4,2,
24,フラミー（仮）,Beast,Flamii,1,0,None,24,33,32,0,15,1630,-15,20,12,6,4,2,
25,ギラフェ（仮）,Aquatic,Garaffa,1,0,None,23,30,21,0,13,2400,-10,30,20,9,4,2,
26,ギラフェ（仮）,Aquatic,Camill,1,0,None,24,33,29,0,16,2240,-15,40,20,9,4,2,
27,ギラフェ（仮）,Beast,Camill,1,0,None,36,22,31,4,4,2540,10,-10,20,13,4,2,
28,ギラフェ（仮）,Beast,Camill,1,0,None,39,24,34,4,9,2840,15,-15,20,13,4,2,
29,ハインド（仮）,Beast,Anlood,1,0,None,24,17,34,0,8,1470,0,0,14,6,4,2,
30,ハインド（仮）,Beast,Ellook,1,0,None,28,18,32,0,10,1630,0,0,14,6,4,2,
31,ハインド（仮）,Beast,Ellook,1,0,Ice,33,27,28,5,9,1450,0,30,24,49,4,2,
32,ハインド（仮）,Beast,Ellook,1,0,Ice,36,39,27,5,21,2160,25,40,30,66,4,2,
33,ウルス,Beast,Buloofo,1,0,None,34,29,25,0,8,2600,15,30,24,9,4,2,
34,ウルス,Beast,Buloofo,1,0,None,36,24,29,0,3,2800,30,15,24,9,4,2,
35,ウルス,Beast,Bufa,1,0,None,33,23,24,0,4,2400,30,-10,24,9,4,2,
36,ウルス,Beast,Bufa,1,0,None,42,33,30,0,14,2980,20,30,26,9,4,2,
37,レパード（仮）,Beast,Griffox,1,0,None,28,24,34,0,10,2050,30,-10,22,9,4,2,
38,レパード（仮）,Beast,Jagron,1,0,None,27,27,31,0,15,2260,25,-10,22,9,4,2,
39,レパード（仮）,Beast,Jagron,1,0,None,26,33,29,4,18,1960,10,15,26,9,4,2,
40,レパード（仮）,Beast,Jagron,1,0,None,25,39,28,4,18,1760,-10,30,26,9,4,2,
41,ムース（仮）,Beast,Rodonya,1,0,None,24,23,29,0,9,1290,-10,30,16,6,4,2,
42,ムース（仮）,Beast,Riik,1,0,None,25,18,28,0,5,1510,15,-10,16,6,4,2,
43,ムース（仮）,Beast,Riik,1,0,None,26,33,22,0,4,1830,25,-10,16,6,4,2,
44,ムース（仮）,Beast,Riik,1,0,None,28,37,34,0,14,1080,-10,40,16,6,4,2,
45,グロッグ（仮）,Aquatic,Brog,1,0,Water,25,22,28,0,5,2040,15,10,22,9,4,2,
46,グロッグ（仮）,Aquatic,Brog,1,0,Earth,33,21,30,0,6,2760,25,0,24,9,4,2,
47,グロッグ（仮）,Aquatic,Brog,1,0,Ice,27,30,31,0,11,2160,15,20,24,13,4,2,
48,ウーパー（仮）,Aquatic,Upa,1,0,Water,22,27,29,0,13,1200,-10,15,10,6,4,2,
49,ウーパー（仮）,Aquatic,Upa,1,0,Fire,23,28,28,0,14,1400,0,25,10,6,4,2,
50,リザド（仮）,Aquatic,Lizard,1,0,Earth,24,21,34,4,9,1510,10,-10,10,6,4,2,
51,サウラー（仮）,Beast,Sauros,1,0,Earth,39,25,28,0,7,4500,30,-10,160,99,4,2,
52,プテルス（仮）,Aerial,Pterix,1,0,Wind,15,30,30,0,9,1290,-15,15,18,6,4,2,
53,エキドナ（仮）,Aerial,Ekidno,1,0,Water,26,16,29,0,5,2080,20,-15,20,9,4,2,
54,タオース（仮）,Aerial,Taos,1,0,Wind,23,31,37,0,15,1440,-10,25,18,13,4,2,
55,タオース（仮）,Aerial,Taos,1,0,Wind,25,36,40,0,19,1510,-10,30,20,13,4,2,
56,ベヒモス（仮）,Beast,Behemoth,1,0,None,45,39,27,0,3,4320,30,-10,100,66,4,2,
57,ベヒモス（仮）,Beast,Mammut,1,0,None,28,27,26,0,8,2640,20,-10,28,33,4,2,
59,ラプタ（仮）,Beast,Rapchor,1,0,None,27,30,28,0,13,1290,-10,40,14,6,4,2,
60,ラプタ（仮）,Beast,Rapchor,1,0,None,31,26,27,0,13,1620,-10,30,14,6,4,2,
61,ストラ（仮）,Beast,Skwaror,1,0,None,28,24,34,0,14,1180,-10,15,14,6,4,2,
62,ストラ（仮）,Beast,Skwaror,1,0,None,29,28,37,0,16,1400,-10,20,14,6,4,2,
63,ニヒツ（仮）,Titan,Ballistaur,1,0,None,57,45,26,0,11,23000,30,0,640,660,4,2,
64,アング（仮）,Beast,Aspar,1,0,Earth,34,26,29,0,16,1110,0,20,26,16,4,2,
65,アング（仮）,Beast,Aspar,1,0,Wind,30,33,30,0,22,970,0,40,26,16,4,2,
66,スパイド（仮）,Insect,Arachno,1,0,Earth,19,20,29,0,4,810,-10,10,12,6,4,2,
67,スパイド（仮）,Insect,Arachno,1,0,Wind,21,22,32,0,8,1080,-5,15,14,6,4,2,
68,スパイド（仮）,Insect,Arachno,1,0,Fire,22,23,31,0,11,1260,0,20,14,6,4,2,
69,スパイド（仮）,Insect,Antol,1,0,Earth,21,21,30,0,3,900,10,-10,12,6,4,2,
70,アントル（仮）,Insect,Antol,1,0,Ice,20,22,34,0,12,720,15,0,12,6,4,2,
71,アントル（仮）,Insect,Arachno,1,0,Water,33,26,27,0,5,2990,20,0,100,49,4,2,
72,アントル（仮）,Insect,Arachno,1,0,Ice,28,33,26,0,9,3470,0,30,100,49,4,2,
73,アントル（仮）,Insect,Antol,1,0,Earth,27,28,34,0,4,2750,-10,10,100,49,4,2,
74,アントル（仮）,Insect,Caterpile,1,0,Water,25,27,27,0,6,1580,20,0,12,6,4,2,
75,キャピル（仮）,Insect,Caterpile,1,0,Earth,30,25,25,0,5,1110,30,-10,12,6,4,2,
76,エルーカ（仮）,Insect,Eluca,1,0,Wind,26,33,28,0,13,1720,10,30,14,6,4,2,
77,Parisax,Insect,Parisax,1,0,Water,22,25,27,1,12,1290,-10,15,12,6,4,2,
78,スコピオ（仮）,Insect,Scorpox,1,0,Earth,35,28,30,1,6,2540,25,0,22,13,4,2,
79,スコピオ（仮）,Insect,Scorpox,1,0,Wind,31,33,33,1,7,2220,20,15,22,13,4,2,
80,Crustip,Aquatic,Crustip,1,0,Water,27,25,30,1,5,1860,20,0,18,9,4,2,
81,Crustip,Aquatic,Crustip,1,0,Water,33,24,34,1,13,2020,30,-10,18,9,4,2,
82,ノムス（仮）,Aquatic,Lysaat,1,0,Water,24,26,26,1,4,1220,10,-30,10,6,4,2,
83,ノムス（仮）,Aquatic,Lysaat,1,0,Earth,25,33,34,1,14,1420,5,20,12,6,4,2,
