autotalk_ma02,Message
bf01030100_ms,LabeledMessage
MNU_Hana_custom,MNU_Filename
MNU_MsgBlStatusIndex,MNU_Name
BTL_Skill_Dr_Table01,BTL_Skill_Dr_Table
BLD_CreateConfig,BdatValue
EVT_change,EventGroup
EVT_chgBf01,EventChange
EVT_facialTemplate,FacialConfig
EVT_setupBf01,EVT_setup
EVT_setupBf10,EVT_setupB
BTL_Bl_TrustUp,BTL_Points
EVT_aimmottype,BdatStateEnum
EVT_aimtype,BdatEnum
FLD_QuestTask,FLD_QuestTask
FLD_QuestList,FLD_QuestList
MNU_CharBladeOrder,MNU_CharOrder
mnu001_title_txt,MNU_txt
mnu010_jog_character,MNU_jog_txt
