Table,Field,Type,RefTable,RefField,Adjust,EnumTypeString
autotalklist*,auto_mes,Message,autotalklist*_ms,,0,
autotalklist*,scenario_*,Reference,MNU_scenario,,0,
BTL_crystalnamelist,name,Message,BTL_crystalnamelist_ms,,0,
BTL_enelist,c_name_id,Message,BTL_crystalnamelist,,0,
BTL_enelist,name,Message,BTL_enelist_ms,,0,
BTL_enelist*,arts*,Reference,ene_arts,,0,
BTL_enelist*,atk*,Reference,ene_atk,,0,
BTL_enelist*,drop_nml,Reference,drop_nmllist*,,0,
BTL_enelist*,drop_rar,Reference,drop_rarlist*,,0,
BTL_enelist*,drop_spr,Reference,drop_sprlist*,,0,
BTL_GimmckBossRescue,eneID,Reference,BTL_enelist,,0,
BTL_GimmckBossRescue,listID*,Reference,MNU_ttrl,,0,
BTL_GimmckBossRescue,resText*,Message,BTL_GimmckBossRescue_ms,,0,
BTL_GimmckBossRescue,S_FLG*,Reference,MNU_scenario,,0,
BTL_pclist,def_*,Reference,ITM_itemlist,,0,
BTL_pclist,melia_def_*,Reference,ITM_itemlist,,0,
BTL_pclist,name,Message,BTL_pclist_ms,,0,
BTL_PSSlist,name,Message,BTL_PSSlist_ms,,0,
BTL_PSVlink,skill,Reference,BTL_PSSlist,,0,
BTL_PSVskill,name,Message,BTL_PSVskill_ms,,0,
BTL_PSVskill,shape,Enum,,,0,SkillShapeXb1
BTL_PSVskill,skill,Reference,BTL_PSSlist,,0,
BTL_skilllist,name,Message,BTL_skilllist_ms,,0,
CL6_materiallist,material*,Reference,ITM_itemlist,,0,
drop_nmllist*,materia*#,Reference,ITM_itemlist,,0,
drop_rarlist*,arts*#,Reference,ITM_itemlist,,0,
drop_rarlist*,crystal*#,Reference,ITM_dropcrystallist,,0,
drop_rarlist*,equip*#,Reference,ITM_itemlist,,0,
drop_rarlist*,wpn*#,Reference,ITM_itemlist,,0,
drop_sprlist*,arts*#,Reference,ITM_itemlist,,0,
drop_sprlist*,uni_equip*#,Reference,ITM_itemlist,,0,
drop_sprlist*,uni_wpn*#,Reference,ITM_itemlist,,0,
drop_sprlist*,wpn*#,Reference,ITM_itemlist,,0,
ene_arts,name,Message,ene_arts_ms,,0,
exchangelist*,*,Reference,ITM_itemlist,,0,
FieldLock*,MSGID,Reference,GimMess*,,0,
FieldLock*,popID*,Reference,poplist*,,0,
FieldLock*,S_FLG_*,Reference,MNU_scenario,,0,
FLD_maplist,name,Message,FLD_maplist_ms,,0,
FLD_npclist,name,Message,FLD_npclist_ms,,0,
FLD_npclist,rlt_job,Message,FLD_npclist_ms,,0,
FLD_npclist,rlt_lnd,Reference,landmarklist,,0,
FLD_tboxlist,itm*ID,Reference,ITM_itemlist,,0,
FLD_valpoplist,itm1ID,Reference,ITM_itemlist,,0,
FLD_valpoplist,mapID,Reference,FLD_maplist,,0,
FLD_valpoplist,questID,Quest,,,0,
FLD_valpoplist,S_FLG_*,Reference,MNU_scenario,,0,
gemMineList2501,obj_id,Reference,mapobjlist2501,,0,
gemMineList2501,quest_id*,Quest,,,0,
gemMineList2501,skill*#,Reference,BTL_skilllist,,0,
ITM_artslist,get_arts,Reference,pc_arts,,0,
ITM_artslist,name,Message,ITM_artslist_ms,,0,
ITM_artslist,pc_type,Reference,BTL_pclist,,0,
ITM_collectlist,mapID,Reference,FLD_maplist,,0,
ITM_collectlist,name,Message,ITM_collectlist_ms,,0,
ITM_dropcrystallist,skill*,Reference,BTL_skilllist,,0,
ITM_equiplist,jwl_skill1,Reference,ITM_itemlist,,0,
ITM_equiplist,name,Message,ITM_equiplist_ms,,0,
ITM_itemlist,comment,ItemComment,,,0,
ITM_itemlist,itemID,Item,,itemType,0,
ITM_itemlist,itemType,Enum,,,0,ItemTypeXb1
ITM_materiallist,name,Message,ITM_materiallist_ms,,0,
ITM_valuablelist,name,Message,ITM_valuablelist_ms,,0,
ITM_wpnlist,arts*,Reference,pc_arts,,0,
ITM_wpnlist,jwl_skill*#,Reference,ITM_itemlist,,0,
ITM_wpnlist,name,Message,ITM_wpnlist_ms,,0,
JNL_quest*,cnd_questID,Quest,,,0,
JNL_quest*,cnd_succ_A1,Task,,type_succ_A1,0,
JNL_quest*,cnd_succ_A2,Task,,type_succ_A2,0,
JNL_quest*,cnd_succ_A3,Task,,type_succ_A3,0,
JNL_quest*,cnd_succ_A4,Task,,type_succ_A4,0,
JNL_quest*,cnd_succ_B1,Task,,type_succ_B1,0,
JNL_quest*,cnd_succ_B2,Task,,type_succ_B2,0,
JNL_quest*,cnd_succ_B3,Task,,type_succ_B3,0,
JNL_quest*,cnd_succ_B4,Task,,type_succ_B4,0,
JNL_quest*,flg_relate*,Reference,JNL_relatelist,,0,
JNL_quest*,flg_s,Reference,MNU_scenario,,0,
JNL_quest*,npc_id,Reference,FLD_npclist,,0,
JNL_quest*,npcmeetID*,Reference,FLD_npclist,,0,
JNL_quest*,reward_A*,Reference,ITM_itemlist,,0,
JNL_quest*,reward_B*,Reference,ITM_itemlist,,0,
JNL_quest*,title,Message,JNL_quest*_ms,,0,
JNL_quest*,type_succ_*,Enum,,,0,TaskTypeXb1
JNL_relatelist,caption*,Message,JNL_relatelist_ms,,0,
landmarklist,mapID,Reference,FLD_maplist,,0,
landmarklist,name,Message,landmarklist_ms,,0,
limited_artsset,arts*,Reference,pc_arts,,0,
limited_charset,arm,Reference,limited_equip,,0,
limited_charset,arts_set,Reference,limited_artsset,,0,
limited_charset,body,Reference,limited_equip,,0,
limited_charset,head,Reference,limited_equip,,0,
limited_charset,legg,Reference,limited_equip,,0,
limited_charset,pc,Reference,BTL_pclist,,0,
limited_charset,skill_set,Reference,limited_skillset,,0,
limited_charset,waist,Reference,limited_equip,,0,
limited_charset,wpn,Reference,limited_equip,,0,
limited_equip,equip,Reference,ITM_itemlist,,0,
limited_equip,slot,Reference,ITM_itemlist,,0,
limited_party,pc,Reference,limited_charset,,0,
Litemlist*,itm*ID,Reference,ITM_itemlist,,0,
maplodlist*,eflg*,Reference,MNU_scenario,,0,
maplodlist*,sflg*,Reference,MNU_scenario,,0,
mapobjlist*,act_eflg*,Reference,MNU_scenario,,0,
mapobjlist*,act_sflg*,Reference,MNU_scenario,,0,
mapobjlist*,pos_eflg*,Reference,MNU_scenario,,0,
mapobjlist*,pos_sflg*,Reference,MNU_scenario,,0,
mapselist*,pos_eflg*,Reference,MNU_scenario,,0,
mapselist*,pos_sflg*,Reference,MNU_scenario,,0,
markerlist*,scenario_*,Reference,MNU_scenario,,0,
minelist*,skill*#,Reference,BTL_skilllist,,0,
MMU_questeve,itemID,Reference,ITM_itemlist,,0,
MNU_arts,tag*,Reference,MNU_arts_tag,,0,
MNU_battle,help,Message,MNU_battle_ms,,0,
MNU_battle,name,Message,MNU_battle_ms,,0,
MNU_bonus_exp,name,Message,MNU_bonus_exp_ms,,0,
MNU_col,itemID,Reference,ITM_itemlist,,0,
MNU_crystal,info,Message,MNU_crystal_ms,,0,
MNU_event_theater_txt,name,Message,MNU_event_theater_ms,,0,
MNU_EventTheater_equip_pc*,eq_*,Reference,ITM_itemlist,,0,
MNU_item,name,Message,MNU_item_ms,,0,
MNU_item_mes_a,comment,Message,MNU_item_mes_a_ms,,0,
MNU_item_mes_b,comment,Message,MNU_item_mes_b_ms,,0,
MNU_main,help,Message,MNU_main_ms,,0,
MNU_main,name,Message,MNU_main_ms,,0,
MNU_mappoint,map_id,Reference,FLD_maplist,,0,
MNU_name,name,Message,MNU_name_ms,,0,
MNU_nopon,name,Message,MNU_nopon_ms,,0,
MNU_noponger_table,npc_id,Reference,FLD_npclist,,0,
MNU_passive,name,Message,MNU_passive_ms,,0,
MNU_quest,name,Message,MNU_quest_ms,,0,
MNU_quest_task_message,prog_a,Message,MNU_quest_task_message_ms,,0,
MNU_quest_task_message,prog_b,Message,MNU_quest_task_message_ms,,0,
MNU_quest_task_message,quest_id,Quest,,,0,
MNU_scenario,help,Message,MNU_scenario_ms,,0,
MNU_scenario,map,Reference,FLD_maplist,,0,
MNU_StyleArmorPc*,name,Message,ITM_fashionlist_ms,,0,
MNU_StyleWeaponPc*,name,Message,ITM_fashionlist_ms,,0,
MNU_sysmes,name,Message,MNU_sysmes_ms,,0,
MNU_ttrl,title,Message,MNU_ttrl_ms,,0,
MNU_ttrl_page,explanation,Message,MNU_ttrl_ms,,0,
MNU_ttrl_page,subtitle,Message,MNU_ttrl_ms,,0,
MNU_ttrl_page,ttrl_id,Reference,MNU_ttrl,,0,
pc_arts,help,Message,pc_arts_ms,,0,
pc_arts,name,Message,pc_arts_ms,,0,
pc_arts,pc,Reference,BTL_pclist,,0,
pctalk_01,server,Reference,BTL_pclist,,0,
pctalk_02,receiver,Reference,BTL_pclist,,0,
pctalk_02,server,Reference,BTL_pclist,,0,
poplist*,child_ID,Reference,poplist*,,0,
poplist*,ene*ID,Reference,BTL_enelist,,0,
poplist*,routeID,Reference,routelist*,,0,
poplist*,S_FLG_*,Reference,MNU_scenario,,0,
scmarkerlist,map,Reference,FLD_maplist,,0,
trial_main,name,Message,trial_main_ms,,0,
trial_portal,mapID,Reference,FLD_maplist,,0,
trial_portal,scenarioFlag,Reference,MNU_scenario,,0,
trial_reward,FirstItem*ID,Reference,ITM_itemlist,,0,
trial_reward,ResultCondID,Reference,trial_result,,0,
trial_root,BGMID,Reference,bgmlist,,0,
trial_root,lockMsg,Message,trial_main_ms,,0,
trial_root,mapID,Reference,FLD_maplist,,0,
trial_root,ptID,Reference,limited_party,,0,
trial_root,rewardID,Reference,trial_reward,,0,
trial_root,S_FLG,Reference,MNU_scenario,,0,
trial_root,title,Message,trial_root_ms,,0,
trial_root,type,Enum,,,0,TrialType
trial_shop,item,Reference,ITM_itemlist,,0,
trial_shop,sflg,Reference,MNU_scenario,,0,
vs*,caption,Message,vs*_ms,,0,
vs*,caption_jp,Message,vs*_ms,,0,
BTL_bufflist,name,Message,BTL_bufflist_ms,,0,
MNU_artsshop,item,Reference,ITM_itemlist,,0,
MNU_playaward,comment*,Message,MNU_playaward_ms,,0,
JNL_kizunalist,title,Message,JNL_kizunalist_ms,,0,
JNL_kizunalist,chara*,Reference,BTL_pclist,,0,
JNL_kizunalist,mapID,Reference,FLD_maplist,,0,
JNL_kizunalist,flag,Reference,MNU_scenario,,0,
MNU_qt*,*,Message,MNU_qt*_ms,,0,














