Table,Field,Type,RefTable,RefField,Adjust,EnumTypeString
BLD_BladeList,StatusID,Reference,CHR_Bl,,0,
BLD_BladeModelList,Gender,Reference,MNU_Msg_Gender,,0,
BLD_BladeModelList,QuestRace,Reference,MNU_Msg_Race,,0,
BLD_CommonList,ArtsAchievementSet*,Reference,FLD_AchievementSet,,0,
BLD_CommonList,Fskill,Enum,,,0,FieldSkillCategory
BLD_CommonList,FskillAchivementSet*,Reference,FLD_AchievementSet,,0,
BLD_CommonList,Gender,Reference,MNU_Msg_Gender,,0,
BLD_CommonList,IdeaType,Enum,,,0,IdeaCategoryBits
BLD_CommonList,KeyAchievementSet,Reference,FLD_AchievementSet,,0,
BLD_CommonList,ModelTable,Reference,BLD_BladeModelList,,0,
BLD_CommonList,QuestRace,Reference,MNU_Msg_Race,,0,
BLD_CommonList,SkillAchievementSet*,Reference,FLD_AchievementSet,,0,
BLD_NameList,Category,Message,bld_bladename,,0,
BLD_NameList,Gender,Reference,MNU_Msg_Gender,,0,
BLD_NameList,sort*,Hide,,,0,
BLD_RareList,Blade,Reference,CHR_Bl,,0,
BLD_RareList,Condition,Reference,FLD_ConditionList,,0,
BTL_Arts_*,ArtsBuff,Reference,BTL_Buff,,0,
BTL_Arts_*,ArtsDeBuff,Reference,BTL_Buff,,0,
BTL_Arts_*,BulletID,Reference,BTL_Bullet,,0,
BTL_Arts_*,HitDirID*,Reference,BTL_HitDirection,,0,
BTL_Arts_Bl,ArtsType,Enum,,,0,ArtType
BTL_Arts_Bl,Atr,Reference,MNU_Msg_Attr,,1,
BTL_Arts_Bl,BtnChal1,Reference,MNU_BtnChallenge2,,0,
BTL_Arts_Bl,Caption,Message,btl_arts_bl_ms,,0,
BTL_Arts_Bl,CmnBlType,Enum,,,0,CommonBladeType
BTL_Arts_Bl,Enhance*,Reference,BTL_Enhance,,0,
BTL_Arts_Bl,HitEff,Reference,BTL_HitEffect,,0,
BTL_Arts_Bl,Name,Message,btl_arts_bl_ms,,0,
BTL_Arts_Bl,RangeType,Enum,,,0,ArtRangeType
BTL_Arts_Bl,ReAct*,Enum,,,0,ReactType
BTL_Arts_Bl,WpnType,Reference,ITM_PcWpnType,,0,
BTL_Arts_BlSp,AddBl,Reference,CHR_Bl,,0,
BTL_Arts_BlSp,ArtsType,Enum,,,0,ArtType
BTL_Arts_BlSp,Atr,Reference,MNU_Msg_Attr,,1,
BTL_Arts_BlSp,BtnChal*,Reference,MNU_BtnChallenge2,,0,
BTL_Arts_BlSp,Caption,Message,btl_arts_blsp_ms,,0,
BTL_Arts_BlSp,CmnBlType,Enum,,,0,CommonBladeType
